Image,Emotion
1.png,anger
10.png,anger
11.png,happy
12.png,sadness
13.png,anxiety
14.png,anxiety
15.png,anxiety
16.png,sadness
17.png,anxiety
18.png,anger
19.png,neutral
2.png,anxiety
20.png,anxiety
21.png,neutral
22.png,anxiety
23.png,anxiety
24.png,neutral
25.png,sadness
26.png,anxiety
27.png,neutral
28.png,sadness
29.png,sadness
3.png,anxiety
30.png,anxiety
31.png,anxiety
32.png,happy
33.png,sadness
33.png,anxiety
34.png,anxiety
35.png,sadness
36.png,anxiety
37.png,anxiety
38.png,anxiety
39.png,anxiety
39.png,anxiety
4.png,anxiety
40.png,anxiety
41.png,anxiety
41.png,anxiety
42.png,happy
43.png,sadness
44.png,neutral
45.png,sadness
46.png,anxiety
47.png,anxiety
48.png,anxiety
49.png,anxiety
5.png,anger
50.png,neutral
51.png,anxiety
51.png,neutral
52.png,anxiety
53.png,anxiety
54.png,anxiety
6.png,anger
7.png,neutral
8.png,anger
9.png,sadness
